component,source_feature,direction,normal,severe,severe_low,severe_high
gcs_low,GCS_min,low_worse,15.0,3.0,,
map_low,MAP_combined_min,low_worse,75.0,45.0,,
hr_high,HR_max,high_worse,85.0,150.0,,
resp_high,RespRate_max,high_worse,18.0,40.0,,
creatinine_high,Creatinine_max,high_worse,1.0,4.0,,
bun_high,BUN_max,high_worse,20.0,80.0,,
urine_low,Urine_sum,low_worse,250.0,0.0,,
lactate_high,Lactate_max,high_worse,2.0,8.0,,
ph_low,pH_min,low_worse,7.35,7.1,,
temp_abnormal,Temp_mean,two_sided,37.0,,32.0,40.0
