feature,coefficient,abs_coefficient
max_state,-0.5709627474685324,0.5709627474685324
ever_critical,0.4686211133101026,0.4686211133101026
N_0_to_0,-0.3846823728987504,0.3846823728987504
P_1_to_0,0.3154439042631567,0.3154439042631567
P_3_to_3,-0.25252690136857403,0.25252690136857403
mean_state,0.24570077782591146,0.24570077782591146
late_mean_state,0.2341939369702049,0.2341939369702049
time_in_state_3,0.2270139862874004,0.2270139862874004
time_in_critical,0.2270139862874004,0.2270139862874004
P_0_to_0,0.22493789426540917,0.22493789426540917
N_1_to_0,-0.19999026770127643,0.19999026770127643
N_0_to_1,0.19265901146416467,0.19265901146416467
time_in_state_0,-0.18602548923320517,0.18602548923320517
N_2_to_2,0.18545212352369556,0.18545212352369556
N_3_to_3,0.18392414075072044,0.18392414075072044
early_mean_state,0.18270260618434858,0.18270260618434858
N_1_to_1,0.16233095823341662,0.16233095823341662
time_in_state_1,-0.15513023592829062,0.15513023592829062
P_3_to_2,-0.15112215204448992,0.15112215204448992
N_1_to_2,-0.14153583391373162,0.14153583391373162
N_2_to_1,0.1380977134846267,0.1380977134846267
P_0_to_1,-0.12637816637122953,0.12637816637122953
P_2_to_2,-0.12625256867712792,0.12625256867712792
state_entropy,-0.1153421588980995,0.1153421588980995
time_in_state_2,0.10903556103302077,0.10903556103302077
P_1_to_1,0.10501387582771672,0.10501387582771672
N_3_to_2,-0.10202922493961676,0.10202922493961676
N_3_to_0,0.09471429859940285,0.09471429859940285
P_0_to_3,-0.09438297088208451,0.09438297088208451
P_1_to_2,0.08834462106703653,0.08834462106703653
num_worsening_transitions,0.08670289848059311,0.08670289848059311
worsening_rate,0.08670289848059186,0.08670289848059186
P_1_to_3,0.07421516486562577,0.07421516486562577
delta_final_initial,0.06252767670746963,0.06252767670746963
N_2_to_3,0.058610368375343024,0.058610368375343024
N_2_to_0,0.052395396527078426,0.052395396527078426
late_minus_early_mean_state,0.05185074126128738,0.05185074126128738
recovery_rate,-0.047495507004568005,0.047495507004568005
num_recovery_transitions,-0.047495507004567,0.047495507004567
P_0_to_2,-0.04665966987710522,0.04665966987710522
initial_state,-0.04302468070111846,0.04302468070111846
N_3_to_1,0.038604669938246794,0.038604669938246794
P_2_to_1,0.034698277985013036,0.034698277985013036
final_state,0.03250230940400904,0.03250230940400904
P_2_to_0,-0.029820170236668365,0.029820170236668365
P_3_to_0,-0.02717054077997801,0.02717054077997801
P_3_to_1,-0.026703868918679322,0.026703868918679322
N_1_to_3,0.026518467335747323,0.026518467335747323
N_0_to_3,0.02154076140945397,0.02154076140945397
same_rate,-0.02003554188771429,0.02003554188771429
num_same_transitions,-0.020035541887713663,0.020035541887713663
P_2_to_3,-0.017953881268736597,0.017953881268736597
N_0_to_2,-0.002298540666221697,0.002298540666221697
