model_a,model_b,feature,rank_a,rank_b,mean_rank,ml_shared_top30,rank_logistic_regression,rank_xgboost_auc_optimized,clinical_domain,train_smd,train_fdr,train_abs_smd,train_differential_supported,test_smd,test_fdr,test_abs_smd,same_effect_direction,cox_hr,cox_ci_lower,cox_ci_upper,cox_p_value,cox_fdr,coxph_supported,heldout_same_direction,n_support_sources
logistic_regression,xgboost_auc_optimized,GCS_last,1,1,1.0,True,1.0,1.0,Neurological,-0.958434019281065,6.132619340012657e-128,0.958434019281065,True,-1.0711096877753492,1.1019077374226004e-79,1.0711096877753492,True,,,,,,False,True,3
logistic_regression,xgboost_auc_optimized,BUN_last,2,2,2.0,True,2.0,2.0,Renal,0.618343022832786,6.1539920675239295e-59,0.618343022832786,True,0.5270108907144306,6.109967023622573e-23,0.5270108907144306,True,,,,,,False,True,3
logistic_regression,xgboost_auc_optimized,static_Age,4,9,6.5,True,4.0,9.0,Static / demographic,0.3895007421271482,6.420192368212919e-33,0.3895007421271482,True,0.35750325408127753,7.687119494623322e-15,0.35750325408127753,True,,,,,,False,True,3
logistic_regression,xgboost_auc_optimized,Lactate_last,8,11,9.5,True,8.0,11.0,Metabolic,0.3830450538645792,6.946294244554077e-20,0.3830450538645792,True,0.35899992014580356,1.1655813072437443e-09,0.35899992014580356,True,,,,,,False,True,3
logistic_regression,xgboost_auc_optimized,Urine_mean,6,14,10.0,True,6.0,14.0,Renal,-0.4121598420525257,2.906580474311968e-33,0.4121598420525257,True,-0.5261786840309141,3.954250835236672e-37,0.5261786840309141,True,,,,,,False,True,3
logistic_regression,xgboost_auc_optimized,GCS_mean,3,19,11.0,True,3.0,19.0,Neurological,-0.7376629302379599,3.338369423303455e-84,0.7376629302379599,True,-0.839252572602224,2.8802545237962622e-55,0.839252572602224,True,,,,,,False,True,3
logistic_regression,xgboost_auc_optimized,Urine_total,22,4,13.0,True,22.0,4.0,Renal,-0.321982777631669,1.0417203914009806e-16,0.321982777631669,True,-0.4476138980412257,3.9192877030877626e-19,0.4476138980412257,True,,,,,,False,True,3
logistic_regression,xgboost_auc_optimized,Creatinine_median,21,8,14.5,True,21.0,8.0,Renal,0.28674339828614326,7.560988381936499e-17,0.28674339828614326,True,0.22600436734744014,3.3308140805157962e-06,0.22600436734744014,True,,,,,,False,True,3
logistic_regression,xgboost_auc_optimized,PaO2_median,17,30,23.5,True,17.0,30.0,Respiratory,-0.26707436605028084,2.26847852126185e-16,0.26707436605028084,True,-0.24878711946195922,6.616733710639962e-08,0.24878711946195922,True,,,,,,False,True,3
logistic_regression,xgboost_auc_optimized,HR_mean,29,22,25.5,True,29.0,22.0,Cardiovascular,0.21453571825903492,9.995578520377656e-10,0.21453571825903492,True,0.20829796984018614,2.0762621786207824e-05,0.20829796984018614,True,,,,,,False,True,3
logistic_regression,xgboost_auc_optimized,GCS_std,11,27,19.0,True,11.0,27.0,Neurological,-0.18585040018229845,6.985328070279877e-10,0.18585040018229845,False,-0.1730119639519673,6.548520131400082e-05,0.1730119639519673,True,,,,,,False,True,2
logistic_regression,xgboost_auc_optimized,Temp_median,24,24,24.0,True,24.0,24.0,Other,-0.18330852580440354,3.9421491747474405e-07,0.18330852580440354,False,-0.17638111909086937,0.0006106446321977227,0.17638111909086937,True,,,,,,False,True,2
