feature,n_methods,best_rank,domain
GCS_last,3,1,Neurological
PaCO2_count,3,6,Measurement process
Urine_mean,3,8,Renal
WBC_mean,2,1,Hematologic
pH_median,2,1,Metabolic / acid-base
BUN_last,2,2,Renal
WBC_max,2,2,Hematologic
static_Age,2,2,Static / demographic
GCS_std,2,3,Neurological
Platelets_min,2,3,Hematologic
Urine_total,2,3,Renal
pH_last,2,3,Metabolic / acid-base
BUN_mean,2,5,Renal
PaO2_count,2,5,Measurement process
NIMAP_missing,2,6,Measurement process
static_ICUType,2,6,Static / demographic
Creatinine_max,2,7,Renal
GCS_median,2,7,Neurological
BUN_median,2,9,Renal
DiasABP_mean,2,11,Cardiovascular
PaCO2_missing,2,18,Measurement process
