epoch,train_loss,val_loss,train_roc_auc,val_roc_auc,train_pr_auc,val_pr_auc,train_brier_score,val_brier_score,train_f1,val_f1
1,0.9791015636920929,0.8557714414596558,0.7822592756308903,0.8489491408845514,0.40821304048663004,0.5060482862840633,0.2169554869379515,0.1815906286820875,0.3938202247191011,0.4474327628361858
2,0.8329205721616745,0.8161722147464752,0.8515382946391634,0.8552611088039866,0.506311527867122,0.5283140814320306,0.1701949493211991,0.1648172351432984,0.47587791270101737,0.46736292428198434
3,0.7852756243944168,0.8066578888893128,0.8651616055388646,0.8598032599667775,0.5347018443109988,0.5323829665659843,0.1554461451790984,0.16926341889309868,0.4942683749157114,0.46616541353383456
4,0.7600249004364014,0.796197921037674,0.8748035741609248,0.863725731935216,0.5415394301491863,0.5246526644550324,0.1521365706844283,0.16200116590592642,0.5037288135593221,0.48010269576379977
5,0.7204293894767761,0.8051147103309632,0.8879606646378437,0.8609679973006645,0.5711200020493185,0.5339278664597042,0.14671088204945956,0.15660536825897645,0.5180682201958797,0.48460508701472554
6,0.694566707611084,0.8368240785598755,0.8956000207254055,0.8535642909053156,0.6006829088274459,0.5215185918918286,0.1395282087840188,0.15783190235399852,0.5314345258770407,0.48322147651006714
7,0.6644090273976326,0.8361268889904022,0.9042617829191893,0.8563642026578072,0.6183012693192628,0.5349773364097261,0.1371020954354133,0.15678002116826548,0.539715574054804,0.48533333333333334
8,0.6478372758626938,0.8342652285099029,0.9090413771384207,0.8584179038621262,0.6013314375911145,0.5469598224756018,0.12940770042337532,0.1470430037448558,0.556715880446525,0.5007072135785007
9,0.6577542766928672,0.8816672205924988,0.9076063856916982,0.8479644674003322,0.6165506839478073,0.5209410698608169,0.12845708102977796,0.15499489419592044,0.5600290170475154,0.4896836313617607
10,0.6312919542193413,0.8562121784687042,0.9128504799631476,0.8556309696843853,0.6373014117564186,0.5303290276767898,0.1304868240969544,0.15007011513258237,0.5635910224438903,0.4793388429752066
11,0.6052503097057342,0.8709309351444244,0.9212481146762586,0.8603450737126247,0.6653467961423906,0.5443413413961412,0.12019167464823986,0.14913048103399942,0.5739320920043811,0.5048543689320388
12,0.5916190046072006,0.8892463707923889,0.9242751572823489,0.8515787219684385,0.6762181073682284,0.5270084445059384,0.12147098781439877,0.1414002714516597,0.5845481049562682,0.5007407407407407
13,0.5884933879971505,0.9138338685035705,0.9243424541308729,0.8524352419019935,0.6755197635371408,0.5352136740013219,0.11913312878421033,0.1361435326849144,0.5762463343108505,0.5230769230769231
14,0.5690530627965927,0.9147311401367187,0.9292371107813397,0.853350160921927,0.6792052163726804,0.5254307144374689,0.11745011840184687,0.14690215218163655,0.5908419497784343,0.49635036496350365
15,0.5458055812120438,0.9302643537521362,0.9356341569253215,0.8545895193106312,0.6960541203201818,0.5360823513490067,0.10819646108259122,0.14162037896504923,0.6058282208588958,0.5135135135135135
16,0.5355486610531807,0.9491612231731414,0.9385001930862963,0.8500311461794019,0.7052569132370324,0.5345480287763638,0.10745802916562931,0.14826296668259775,0.615678776290631,0.49262536873156343
17,0.5366038572788239,0.9989575242996216,0.937794436362076,0.8522243563122924,0.7190224317215735,0.5316166612509458,0.10738835713978631,0.12988238456613307,0.6155615178229207,0.5286624203821656
18,0.5312918075919151,0.9593984138965607,0.9386349891798812,0.8530614098837209,0.7152791202010719,0.5309853252323296,0.10495948626583013,0.14832950739520157,0.6193798449612403,0.4992700729927007
19,0.48461731046438217,0.9828706467151642,0.9489452711668322,0.8466894206810631,0.7423597598333002,0.522504396266174,0.10118113865636452,0.1444011912615534,0.6382815496739548,0.481089258698941
20,0.4914466571807861,1.0655298495292664,0.9476748281046211,0.8424100654069767,0.7536367719481403,0.5158241487580749,0.09629232523973988,0.13661320821014697,0.6454942437475188,0.49122807017543857
21,0.4816504138708115,1.0382819843292237,0.9491719552881762,0.8510920629152823,0.7517371142034502,0.5241165750870325,0.09766893648159083,0.1351978409492838,0.6365758754863813,0.5007923930269413
22,0.4613878059387207,1.040420140028,0.9540003270728036,0.8481331758720931,0.7648606263093544,0.502180482551675,0.09144706429764644,0.14008502853251326,0.6639871382636656,0.5030864197530864
23,0.4568865478038788,1.0393051600456238,0.9546710691961375,0.8498624377076411,0.7772482664444462,0.5331586288513283,0.09088243399046009,0.1439456037190299,0.6629077728554168,0.5075528700906344
24,0.450681546330452,1.0954684352874755,0.9555997657057689,0.8471890573089701,0.7815275246265381,0.5113521603737152,0.09116528512694154,0.1392159841631452,0.6618357487922706,0.513302034428795
